Team,3PPercent,3PFGA,OffRtg,StarFactor,Seed
Bucks,0.355,38.9,111.9,0.1406201587,1
Raps,0.374,37,110.8,0.07626856067,2
Celtics,0.364,34.5,112.8,0.05005124294,3
Pacers,0.363,28,109.5,0.01334699812,4
Heat,0.379,35.4,111.9,0.06435159806,5
Phi,0.368,31.6,110.7,0.07388516815,6
Nets,0.343,38.1,108.7,0.0109636056,7
Magic,0.343,32.2,107.9,0.00402793336,8
Lakers,0.349,31.6,111.7,0.1477703363,1
Clippers,0.371,33.5,113.3,0.09295230832,2
Nuggets,0.359,30.6,112.6,0.02860071025,3
Housotn,0.338,49.2,110.7,0.08818552327,4
Thunder,0.355,30.2,110.1,0.01048692709,5
Jazz,0.38,35.2,111.8,0.02211788259,6
Mavs,0.367,41.3,115.9,0.1453869438,7
Blazers,0.377,34.1,113.2,0.03098410277,8