Team,3PPercent,DefRtg,SecondaryAsts,PaceInLosses,PaceInWins,3PFGA,RebPercent,KeyPlayers,OffRtg,MOG,StarFactor,Seed,Score,,,,
Bucks19,0.353,104.9,2.8,102.79,103/86,38.2,0.516,2,113.5,8,0.1413776097,1,19,,,,
Raps19,0.386,106.8,4,98.76,101.25,33.8,0.502,2,112.6,6.1,0.1177050797,2,26,,,,
Phil19,0.359,109,3.4,102.37,102.73,30.2,0.517,2,111.6,2.7,0.08877198751,3,11,,,,
Pistons19,0.348,108.7,3.1,98.22,97.54,34.8,0.509,1,108.4,-0.2,0.02771658721,8,0,,,,
Celtics19,0.365,107,3.7,99.59,100.99,34.5,0.495,2,113.3,4.4,0.1249383528,4,10,,,,
Magic19,0.356,109,3.4,98.43,98.86,32.1,0.501,1,108.2,0.7,0.008384021042,7,1,,,,
Nets19,0.353,109,2.7,101.72,101.32,36.2,0.504,1,108.9,-0.1,0.007299030084,6,1,,,,
Pacers19,0.374,106,3.3,98.4,98.82,25.4,0.499,1,109.4,3.3,0.03116883117,5,0,,,,
Warriors19,0.385,108.6,3.9,100.56,102.25,34.4,0.505,3,115,6.5,0.1249383528,1,23,,,,
Blazers19,0.359,109.5,2.8,100.79,99.5,30.7,0.526,2,113.7,4.2,0.03419365445,3,13,,,,
Nuggets19,0.351,108.1,3.7,100.2,97.61,31.4,0.524,1,112.1,4,0.04602991945,2,7,,,,
Rockets19,0.356,110.1,2.5,97.41,98.93,45.4,0.481,2,114.6,4.8,0.09534769028,4,10,,,,
Thunder19,0.348,106.5,2.2,103.11,103.56,32.6,0.509,2,109.8,3.4,0.1019233931,6,1,,,,
Jazz19,0.356,105.9,3.8,100.52,101.05,34,0.522,2,110.3,5.3,0.01371034029,5,1,,,,
Spurs19,0.392,110.5,3.2,98.48,99.18,25.3,0.501,2,112.2,1.7,0.03386486931,7,3,,,,
Clippers19,0.388,110.4,2.7,103.52,102.06,25.8,0.5,3,111.4,0.9,0.002630281111,8,2,,,,
Bucks18,0.355,109.1,2.9,97.4,96.7,24.7,0.48,1,109,-0.3,0.147,7,3,,,,    
Raps18,0.358,105.3,3.3,99.39,97.87,33,0.502,2,113,7.8,0.059,1,6,,,,
Phil18,0.369,103.9,3.6,99.66,101.38,29.8,0.52,2,108.5,4.5,0.07,3,9,,,,
Cavs18,0.372,111.1,3,99.98,98.55,32.1,0.492,1,112,0.9,0.153,4,17,,,,
Celtics18,0.377,103.2,3,96.53,99.86,30.4,0.504,2,106.8,3.5,0.059,2,15,,,,
Heat18,0.36,105.8,2.8,96.34,95.89,30.6,0.501,1,106.2,0.5,0.07,6,1,,,,
Wizards18,0.375,107.7,3.2,97.67,97.67,26.5,0.504,2,108.1,0.6,0.003,8,2,,,,
Pacers18,0.369,107.3,2.4,97.25,96.55,24.5,0.496,1,108.5,1.4,0.003,5,3,,,,
Warriors18,0.391,106.8,4.7,98.53,101.19,28.9,0.497,4,112.8,6,0.136,2,29,,,,
Blazers18,0.366,105.7,2.2,99.52,97.91,28.1,0.513,2,108.4,2.6,0.023,3,0,,,,
Wolves18,0.357,110.2,2.5,96.62,96.83,22.5,0.503,1,112.5,2.2,0.019,8,1,,,,
Rockets18,0.362,105.7,2.2,97.71,98.11,42.3,0.503,2,114.1,8.5,0.082,1,19,,,,
Thunder18,0.354,106.4,2.4,97.57,97.17,30.4,0.515,2,110.1,3.4,0.07,4,2,,,,
Jazz18,0.366,103,2.9,96.62,96.57,29.6,0.509,2,107.4,4.3,0.008,5,7,,,,
Spurs18,0.352,104.1,4,96.7,94.95,24.1,0.508,1,107.1,2.9,0.034,7,1,,,,
Pelicans18,0.362,107.4,3,100.91,101.87,28.2,0.494,2,108.5,1.3,0.06,6,10,,,,